"paper_type","revenue","account_id","account_manager","account_name","business_size","cancelled_at","days_to_close","days_to_ship","discount","index","order_id","payment_cycle","price","product_id","product_name","purchased_at","quantity","rating","returned_at","review","reviewed_at","shipping_address","shipping_city","shipping_cost","shipping_latitude","shipping_longitude","shipping_mode","shipping_region","shipping_state","shipping_zip","status","order_contact_name","order_contact_email"
"Cardstock",147.6,"60906229fc13ae0a6b0000a6","Kevin Malone","Schneider, Okuneva and Wyman",148,,59,3,,11,"02dee5df-60be-4db5-b549-774b6e51ca96","BIWEEK",3.69,"91335","Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",2021-10-22 14:31:34.000,40,4,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",2021-11-17 12:07:34.000,"5 Scofield Plaza","Eldoramouth",,33.468167,-101.947592,"REGULAR","Northeast","RI",79495,"COMPLETED","Bree Mouse","bree@schneider.com"
"Multipurpose",460018,"60906229fc13ae0a6b0000d4","Erin Hannon","Stark, Kshlerin and Graham",1716,2021-12-20 20:01:40.000,78,,,8,"0310d1f2-82ac-469f-845d-71ca1b59223f",,2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-06-01 15:15:00.000,200,,,,,"79 Hansons Crossing","North Furmanmouth",,43.612528,-88.272017,,"South","WV",53010,"CANCELLED","Dobie Wolf","dobie@stark.com"
"Printer",659.5,"60906229fc13ae0a6b000311","Dwight Schrute","Zieme, Hermann and King",738,,62,0,,10,"03162bc9-4c09-4fe3-9674-bfe57db3c99e","ANNUAL",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-05-12 08:35:00.000,50,1,,"I Would Like To Never Speak To Dwight Schrute Ever Again",2021-06-02 08:06:12.000,"6054 Riverside Avenue","North Wellingtonhaven",100,42.364306,-89.027467,"EXPRESS","Northeast","NY",61146,"COMPLETED","Bam Deer","bam@zieme.com"
"Multipurpose",10558.4,"60906229fc13ae0a6b0002b7","Stanley Hudson","Parisian, Kautzer and Becker",810,,5,2,9.9,3,"0353e987-584f-4215-88f9-bb8067602232","WEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-11-19 09:44:30.000,160,4,,"One minor suggestion for improvement: it'd be cool if Dundler Mifflin had a shipping program similar to Amazon Prime. It would make the buying and shipping process SO much better!",2021-12-02 15:01:18.000,"039 Little Fleur Avenue","East Buckfurt",,42.492334,-94.192499,"REGULAR","Northeast","ME",50508,"COMPLETED","Marina Octopus","marina@parisian.com"
"Copy",1383998,"60906229fc13ae0a6b0000bc","Angela Martin","Satterfield, Grimes and Willms",162,,69,1,,9,"03957de9-542d-4ae1-b3c3-02498a01f5b8","MONTH",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-12-18 08:04:47.000,200,,"2021-12-22 3:45:35",,,"676 Granby Trail","Lake Averyside",100,32.614215,-83.56856,"EXPRESS","Northeast","VT",31179,"RETURNED","Sprocket Ostrich","sprocket@satterfield.com"
"Multipurpose",3909.5,"60906229fc13ae0a6b0003e5","Oscar Martinez","Robel, Dooley and Prosacco",503,,18,6,,11,"039a86fd-414a-42b9-9fec-6ee7999f51c8","ANNUAL",78.19,"OX9001","Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",2021-08-25 16:52:13.000,50,3,,"They get the job well, but not particularly well or in any special way. Solid, dependable.",2021-09-11 21:25:49.000,"17 Southridge Park","Port Pauline",100,43.226377,-75.408248,"EXPRESS","West","HI",13445,"COMPLETED","Anchovy Bird","anchovy@robel.com"
"Cardstock",12032.3,"60906229fc13ae0a6b000188","Dwight Schrute","Davis, Stiedemann and Botsford",4489,,137,7,5.16,14,"03cec008-822e-4e18-86ef-27f76da59786","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-05-31 18:12:25.000,70,1,,"This was our first time ordering with Dundler Mifflin and I will have to say that this will be our last. Our sales rep just would not leave us alone.",2021-06-21 03:34:01.000,"9 Mcbride Trail","Ziemannmouth",,40.738693,-78.060782,"REGULAR","South","GA",16877,"COMPLETED","Jay Bird","jay@davis.com"
"Copy",187070,"60906229fc13ae0a6b000330","Angela Martin","Larkin LLC",598,,68,4,,6,"0416e1b5-d9bf-4455-bb94-39fddd4bce7d","BIWEEK",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-03-29 16:11:24.000,130,3,,"They get the job well, but not particularly well or in any special way. Solid, dependable.",2021-04-29 05:37:48.000,"85 Schurz Court","North Modestoside",,43.143932,-72.446437,"REGULAR","Midwest","MI",3646,"COMPLETED","Mint Squirrel","mint@larkin.com"
"Printer",395.7,"60906229fc13ae0a6b00010e","Creed Patton","Rutherford LLC",407,,54,5,,14,"04344f30-f264-4511-9c27-103f0136db62","ANNUAL",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-12-19 15:50:27.000,30,3,,"Pretty good. The salesperson was not well prepared and couldn't answer many of our questions.",2022-01-07 16:48:03.000,"21020 Maple Wood Crossing","East Jacquelynfort",100,42.139366,-84.811584,"EXPRESS","West","HI",49245,"COMPLETED","Poppy Squirrel","poppy@rutherford.com"
"Multipurpose",13857.9,"60906229fc13ae0a6b00003b","Dwight Schrute","Wilderman-Strosin",799,,139,3,3.96,7,"0436202f-7e4b-4807-b67f-7b7ed40f4d46","BIWEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-07-12 12:56:36.000,210,4,,"Docking one star because they could have better selections and offers. Otherwise, I love Dundler Mifflin and see ourselves becoming repeat customers!",2021-07-22 15:20:36.000,"99 Rowland Court","Lake Demetrisport",100,36.758474,-94.054314,"EXPRESS","South","KY",64970,"COMPLETED","Carrie Kangaroo","carrie@wilderman-strosin.com"
"Multipurpose",15638,"60906229fc13ae0a6b000338","Kevin Malone","Nicolas-Sanford",404,,19,0,,2,"0470cabc-a7fb-45ce-b738-22e4d4090afb","BIWEEK",78.19,"OX9001","Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",2021-10-20 09:47:12.000,200,5,,"WOW! I never cared too much for paper before, but Dunder Mifflin's quality and customer service are both impeccable",2021-11-13 07:52:00.000,"65930 Superior Trail","North Claudie",100,43.448623,-110.966891,"EXPRESS","Northeast","CT",83017,"COMPLETED","Celia Eagle","celia@nicolas-sanford.com"
"Multipurpose",7629.299999999999,"60906229fc13ae0a6b0002bd","Dwight Schrute","Grady-Grimes",346,,80,1,,6,"04aec9e9-557a-405e-b3a4-9b942a0f1e49","BIWEEK",108.99,"NMP1124","Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",2021-12-27 08:10:29.000,70,3,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",2022-01-24 09:08:05.000,"50458 Drewry Trail","West Antwonbury",,41.335283,-87.810291,"REGULAR","Northeast","CT",60468,"COMPLETED","Goldie Dog","goldie@grady-grimes.com"
"Copy",691999,"60906229fc13ae0a6b0000a4","Kevin Malone","Witting-Schmitt",37,,8,4,,10,"04bb0898-dedc-4540-9575-774c810dbf70","MONTH",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-05-08 12:30:22.000,100,,"2021-05-13 10:35:10",,,"4 Cordelia Park","Lake Mozell",100,42.757435,-114.722206,"EXPRESS","South","LA",83363,"RETURNED","Klaus Bear","klaus@witting-schmitt.com"
"Multipurpose",6598.999999999999,"60906229fc13ae0a6b00000f","Kevin Malone","Stamm, Runte and Moore",199,,134,4,3.3,13,"05202b7f-b377-415c-b840-3ac6f1ac1bf5","MONTH",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-10-10 11:52:09.000,100,3,,"Not a visionary company, but they get the job done.",2021-10-24 20:01:45.000,"0 Moose Place","Osinskiburgh",100,38.584047,-121.375846,"EXPRESS","South","FL",95889,"COMPLETED","Eunice Sheep","eunice@stamm.com"
"Kraft Roll",7198.8,"60906229fc13ae0a6b0000aa","Kelly Kapoor","Green and Sons",920,,16,1,2.4,15,"054e942f-a659-42b6-9921-147e5f57f3aa","WEEK",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-06-26 12:47:25.000,120,5,,"5 stars!!!",2021-07-24 11:06:37.000,"7 Welch Road","New Jovanimouth",100,36.649344,-97.35032,"EXPRESS","Northeast","PA",74682,"COMPLETED","Kiki Cat","kiki@green.com"
"Multipurpose",184007.2,"60906229fc13ae0a6b0002a6","Meredith Palmer","Orn Inc",1218,2021-11-02 11:26:45.000,50,,,13,"05ab8314-7d10-4ce5-b279-e3372096765d",,2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-03-14 08:41:26.000,80,,,,,"5432 Jenna Place","Beahanland",,38.932602,-79.788254,,"Northeast","NJ",26245,"CANCELLED","Bianca Tiger","bianca@orn.com"
"Multipurpose",718.8000000000001,"60906229fc13ae0a6b00002f","Erin Hannon","Abbott, Oberbrunner and Gleason",903,,17,10,,14,"05e35a38-5582-4c08-8158-20103a68bfd2","WEEK",5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-03-20 03:36:45.000,120,,,,,"57967 Eagan Center","Oberbrunnerton",,47.006575,-88.694612,"REGULAR","West","CO",49957,"COMPLETED","Bob Cat","bob@abbott.com"
"Kraft Roll",10798.2,"60906229fc13ae0a6b00031a","Dwight Schrute","Wilkinson-Sipes",106,,68,3,10.2,14,"060f700d-04ad-4f4c-93b3-9322dfdaef61","MONTH",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-10-04 09:57:57.000,180,4,,"When are y'all going to offer more options?",2021-10-31 10:41:09.000,"73910 Boyd Alley","Port Laurianneville",100,41.100918,-73.520517,"EXPRESS","South","MS",6948,"COMPLETED","Bam Deer","bam@wilkinson-sipes.com"
"Multipurpose",161006.30000000002,"60906229fc13ae0a6b000321","Oscar Martinez","Schmeler, Hackett and Kozey",1019,,92,7,,10,"0650a0bd-5589-4542-bdf8-bd42d9a31835","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-12-18 16:35:33.000,70,4,,"The selections aren't big, but they have just what you need.",2022-01-01 00:45:09.000,"55 Farwell Point","Rauborough",,33.755796,-90.988708,"REGULAR","West","NV",38729,"COMPLETED","Nan Goat","nan@schmeler.com"
"Multipurpose",437017.10000000003,"60906229fc13ae0a6b00003f","Andy Bernard","Rogahn, Beahan and Fritsch",3589,,105,10,,1,"068e0312-66bb-432a-bab0-e2116daf9afd","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-03-23 06:52:58.000,190,5,,"Excellent",2021-04-15 21:45:46.000,"5150 Judy Junction","Lake Curtfurt",,38.815789,-77.154271,"REGULAR","West","AZ",22313,"COMPLETED","Sheldon Squirrel","sheldon@rogahn.com"
"Multipurpose",958.4000000000001,"60906229fc13ae0a6b00007d","Ryan Howard","Wolff, Koss and Witting",43,,121,0,,4,"069a830b-acdb-432e-90d4-475c8816a2c3","MONTH",5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-08-02 15:42:02.000,160,,,,,"42758 Tennyson Trail","Garfieldview",100,42.750578,-73.776118,"EXPRESS","Northeast","RI",12113,"COMPLETED","Klaus Bear","klaus@wolff.com"
"Printer",2110.4,"60906229fc13ae0a6b0002b4","Phyllis Vance","Anderson, Armstrong and Hane",190,,103,1,,12,"06c62e43-342b-41d1-ac5b-bd2222e150d4","MONTH",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-04-19 00:00:55.000,160,3,,"Decent company. Wish they expanded their product offering.",2021-05-14 14:10:31.000,"11 Bayside Park","Tillmantown",100,36.724637,-110.612172,"EXPRESS","Northeast","ME",86124,"COMPLETED","O'Hare Rabbit","ohare@anderson.com"
"Multipurpose",9382.8,"60906229fc13ae0a6b0002ff","Angela Martin","Von Ltd",442,,55,2,,9,"06c8f2a1-e3ed-4e97-ad34-89cbc543f09a","BIWEEK",78.19,"OX9001","Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",2021-01-14 08:16:09.000,120,3,,"They stopped providing bundles and special deals and hiked their prices. I understand they need to survive, but with the competition nowadays (Staples, Amazon, Prince Paper) this is likely only going to hurt them",2021-02-05 19:32:57.000,"854 Bayside Road","Port Anselbury",,34.479453,-120.084094,"REGULAR","Northeast","VT",93182,"COMPLETED","Cheri Cub","cheri@von.com"
"Multipurpose",230009,"60906229fc13ae0a6b0000ed","Ryan Howard","Lind-Hagenes",2457,,142,8,,11,"07000546-811d-4741-b0ba-d84a8c228730","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-02-10 05:16:03.000,100,3,,"Shipping is pretty slow",2021-03-12 00:42:27.000,"8 Service Terrace","East Price",,41.868705,-83.929015,"REGULAR","West","UT",49268,"COMPLETED","Rolf Tiger","rolf@lind-hagenes.com"
"Multipurpose",276010.80000000005,"60906229fc13ae0a6b00021b","Kelly Kapoor","Rogahn-Dooley",1468,,123,4,,15,"074e9feb-c620-42ef-a722-4c0480f64394","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-08-16 17:09:23.000,120,3,,"Shipping is SO slow. They're headquartered in Scranton, so shipping anything beyond the Northeast is a drag.",2021-09-08 02:16:35.000,"6011 Old Shore Alley","Lake Kevinburgh",100,37.501353,-78.251825,"EXPRESS","South","OK",23041,"COMPLETED","Vivian Wolf","vivian@rogahn-dooley.com"
"Multipurpose",781.9,"60906229fc13ae0a6b000140","Phyllis Vance","Dicki-Weber",905,,50,5,,4,"07524e0e-865a-4cf4-afa5-7fcc2fa117e1","ANNUAL",78.19,"OX9001","Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",2021-05-27 13:21:08.000,10,3,,"Shipping is pretty slow",2021-06-09 08:47:32.000,"5 Corben Junction","Kristyport",100,42.122965,-102.88128,"EXPRESS","West","OR",69307,"COMPLETED","Miranda Duck","miranda@dicki-weber.com"
"Kraft Roll",5340,"60906229fc13ae0a6b000244","Angela Martin","Smitham PLC",126,,18,1,2.85,3,"076b8758-9d8c-4daf-83ef-a88fbb827e35","MONTH",35.6,"C2130240ST","Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",2021-06-17 18:40:21.000,150,5,,"Great deal",2021-07-02 05:57:09.000,"39 Gina Way","Orvillefurt",,45.818549,-119.132853,"REGULAR","Northeast","NY",97875,"COMPLETED","Scoot Duck","scoot@smitham.com"
"Printer",1000,"60906229fc13ae0a6b000377","Angela Martin","Aufderhar, Senger and Kerluke",986,,137,5,,5,"07881730-364f-49d3-aabe-1b4bf879a0f9","ANNUAL",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-05-29 09:44:59.000,40,,,,,"06613 Stang Parkway","Kathrynport",100,40.75901,-73.457384,"EXPRESS","South","OK",11856,"COMPLETED","Olive Cub","olive@aufderhar.com"
"Multipurpose",14168.699999999999,"60906229fc13ae0a6b000082","Phyllis Vance","Quitzon Group",854,,6,1,,11,"081836da-0869-4d8e-9877-5d2c4e382ff0","WEEK",108.99,"NMP1124","Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",2021-07-23 10:27:19.000,130,5,,"Great deal",2021-08-03 08:03:19.000,"47 Londonderry Pass","West Dallasstad",,41.102896,-80.761275,"REGULAR","Northeast","VT",44543,"COMPLETED","Tammi Monkey","tammi@quitzon.com"
"Multipurpose",414016.2,"60906229fc13ae0a6b00017a","Dwight Schrute","Denesik-Wilkinson",3601,,29,5,,3,"0822135f-8c3d-44b4-944a-66d7949061e3","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-08-19 04:29:08.000,180,4,,"Love them! Took one star off because their express shipping is EXPENSIVE",2021-09-03 07:50:44.000,"29835 Browning Avenue","South Delilah",100,33.832642,-93.126092,"EXPRESS","South","GA",71773,"COMPLETED","Quillson Duck","quillson@denesik-wilkinson.com"
"Printer",2126.3999999999996,"60906229fc13ae0a6b0001ce","Andy Bernard","Kuhlman-Hintz",942,,146,3,,1,"084497f9-f967-4c69-8b89-aba5693f6497","WEEK",13.29,"191259","JAM Paper® Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",2021-03-19 03:23:13.000,160,4,,"Docking one star because they could have better selections and offers. Otherwise, I love Dundler Mifflin and see ourselves becoming repeat customers!",2021-04-12 13:28:01.000,"97965 Blaine Parkway","Irmaside",100,41.285469,-75.896388,"EXPRESS","South","FL",18790,"COMPLETED","Snooty Anteater","snooty@kuhlman-hintz.com"
"Multipurpose",1018.3000000000001,"60906229fc13ae0a6b0001ca","Oscar Martinez","Beier-Harber",197,2021-02-18 08:46:51.000,26,,,10,"084ffc25-9eb1-41c9-a088-5e0f69fd9aa7",,5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-05-23 05:07:10.000,170,,,,,"32512 Namekagon Parkway","Pagacmouth",,33.743893,-96.936121,,"West","CO",76295,"CANCELLED","Frita Sheep","frita@beier-harber.com"
"Multipurpose",2179.7999999999997,"60906229fc13ae0a6b0002f8","Erin Hannon","Schneider Ltd",979,,14,4,,10,"086952fc-6fe7-4c64-90e7-45deebf7cd0f","ANNUAL",108.99,"NMP1124","Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",2021-06-01 01:26:12.000,20,4,,"Love them! Took one star off because their express shipping is EXPENSIVE",2021-06-26 19:26:12.000,"72482 Esch Circle","Alycemouth",100,27.025247,-82.346959,"EXPRESS","South","SC",34304,"COMPLETED","Ike Bear","ike@schneider.com"
"Printer",1250,"60906229fc13ae0a6b000125","Dwight Schrute","Kuvalis LLC",806,,28,1,,1,"08d6afe2-af02-4c26-aa65-d1a0e2102918","ANNUAL",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-04-24 17:08:27.000,50,,,,,"068 Sherman Avenue","Lowetown",,37.86416,-82.810705,"REGULAR","Northeast","CT",41291,"COMPLETED","Simon Monkey","simon@kuvalis.com"
"Multipurpose",13078.8,"60906229fc13ae0a6b0002a5","Dwight Schrute","Larkin-Stoltenberg",210,,122,1,,11,"08eeceb7-e26d-43f0-9132-17941e66c52f","MONTH",108.99,"NMP1124","Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",2021-08-07 07:40:46.000,120,3,,"I mean... they're a paper company. What's there to get excited about?",2021-08-22 10:33:34.000,"9 Arapahoe Plaza","Wunschfort",100,36.905389,-119.748632,"EXPRESS","Northeast","CT",93811,"COMPLETED","Frita Sheep","frita@larkin-stoltenberg.com"
"Printer",2392.2,"60906229fc13ae0a6b0003cc","Dwight Schrute","Klein-Haag",722,,95,7,,9,"09013c45-65c6-4455-aac9-dd0ad889b4da","BIWEEK",13.29,"191259","JAM Paper® Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",2021-03-05 03:38:50.000,180,3,,"They stopped providing bundles and special deals and hiked their prices. I understand they need to survive, but with the competition nowadays (Staples, Amazon, Prince Paper) this is likely only going to hurt them",2021-04-01 04:36:26.000,"4 Mallory Circle","New Cristian",100,42.453088,-97.475351,"EXPRESS","West","MT",68749,"COMPLETED","Ellie Elephant","ellie@klein-haag.com"
"Cardstock",258.3,"60906229fc13ae0a6b00025f","Kelly Kapoor","Kassulke-Brakus",673,,43,1,,4,"0910f72f-187a-491a-9527-23ee58939ea4","WEEK",3.69,"91335","Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",2021-06-13 12:21:50.000,70,3,,"They get the job well, but not particularly well or in any special way. Solid, dependable.",2021-07-01 13:33:50.000,"8143 Lakewood Gardens Junction","Volkmanhaven",100,32.857153,-100.124111,"EXPRESS","Northeast","PA",79520,"COMPLETED","Poncho Cub","poncho@kassulke-brakus.com"
